IDNUMBO;PRODA;UGBBO;RATIOBO;;IDNUMCA;UGBCA;PRODA;RATIOCA;;IDNUMHE;UGBHE;PRODA;RATIOHE;;IDNUMOV;UGBOV;PRODA;RATIOOV;;IDNUMPO;UGBPO;PRODA;RATIOPO
3167;5349;1;5349;;33968;1;85768,96;85768,96;;3454;1;0;0;;31267;1;425;425;;47547;1;1189;1189
5146;35335,76;1;35335,76;;40356;1;14818,9;14818,9;;18823;1;1148;1148;;41754;1;218517;218517;;49017;1;6627,16;6627,16
5354;39672,36;1;39672,36;;43459;1;60;60;;22606;1;0;0;;41773;1;1030905;1030905;;49345;1;771,47;771,47
5473;13208;1;13208;;44305;1;23469,31;23469,31;;25301;1;0;0;;43049;1;-180;-180;;48684;1;-90;-90
7098;218,18;1;218,18;;45244;1;16307,61;16307,61;;29631;1;0;0;;44528;1;302944;302944;;41884;1;3,72;3,72
8097;328;1;328;;45694;1;141010;141010;;29792;1;7045;7045;;44927;1;0;0;;44054;1;4968,04;4968,04
27943;-1385,2;1;-1385,2;;48096;1;49183,27;49183,27;;31267;1;425;425;;45195;1;313390,95;313390,95;;48176;1;16319;16319
30702;108875,16;1;108875,16;;41196;1;94365,54;94365,54;;31910;1;0;0;;45663;1;67080,58;67080,58;;45927;1;18638;18638
34946;391950;1;391950;;48085;1;6538;6538;;32465;1;98612;98612;;45822;1;76627;76627;;46234;1;34899;34899
37184;2329;1;2329;;21137;1;-4115,04;-4115,04;;32959;1;-1500;-1500;;46098;1;389594;389594;;48719;1;10056,93;10056,93
38677;112147,75;1;112147,75;;48051;1;21505,62;21505,62;;34913;1;0;0;;46326;1;736864;736864;;44765;1;18129;18129
39428;64121,76;1;64121,76;;47302;1;30335;30335;;35169;1;0;0;;48037;1;938,65;938,65;;43013;1;28605,41;28605,41
39522;0;1;0;;44222;1;196709,06;196709,06;;35745;1;0;0;;48525;1;480,68;480,68;;48363;1;42391;42391
40243;1110;1;1110;;46831;1;76293,95;76293,95;;37143;1;0;0;;48582;1;10712;10712;;29347;1;11998;11998
40855;316873;1;316873;;34319;1;11015;11015;;37145;1;-2000;-2000;;48645;1;445;445;;39374;1;748;748
41196;94365,54;1;94365,54;;45718;1;30155,76;30155,76;;37326;1;680;680;;48955;1;-325;-325;;48605;1;42832,6;42832,6
41964;-1370;1;-1370;;35828;1;63790;63790;;37495;1;0;0;;48980;1;0;0;;48948;1;65658;65658
42485;-3633;1;-3633;;37381;1;45966;45966;;37549;1;0;0;;49012;1;898;898;;35467;1;23440,39;23440,39
42765;0;1;0;;18406;2;6555;3277,5;;38271;1;0;0;;49316;1;0;0;;43630;1;24269,36;24269,36
43076;2201241,4;1;2201241,4;;45708;2;3684,21;1842,105;;38800;1;0;0;;48958;1;8074;8074;;45564;1;85532,53;85532,53
43569;3753;1;3753;;46137;2;9835,11;4917,555;;39003;1;-355,34;-355,34;;39956;1;1152,73;1152,73;;45718;1;30155,76;30155,76
44493;0;1;0;;46873;2;14642,82;7321,41;;39375;1;-2042;-2042;;48449;1;3772,75;3772,75;;47684;1;32641;32641
44512;143528;1;143528;;47165;2;-853,01;-426,505;;39463;1;-500;-500;;37576;1;171,47;171,47;;35442;1;92765,08;92765,08
44525;546;1;546;;48062;2;37,2;18,6;;40904;1;-300;-300;;48499;1;3434,22;3434,22;;35882;1;28735;28735
45658;951631,72;1;951631,72;;49155;2;-28679,74;-14339,87;;40986;1;0;0;;37908;1;1310520,73;1310520,73;;39881;1;114767;114767
45712;-62055;1;-62055;;49345;2;771,47;385,735;;41602;1;0;0;;46341;1;5406,48;5406,48;;49453;1;89240;89240
46135;-517,77;1;-517,77;;49360;2;1385,62;692,81;;41754;1;218517;218517;;47184;1;4741,83;4741,83;;35828;1;63790;63790
46498;74811;1;74811;;36158;2;76108;38054;;41773;1;1030905;1030905;;46227;1;11850,5;11850,5;;42286;1;124836,08;124836,08
46800;800;1;800;;37576;3;171,47;57,15666667;;42434;1;30;30;;44893;1;467;467;;40518;1;81666;81666
46879;160564;1;160564;;42130;3;-1753,35;-584,45;;43049;1;-180;-180;;48270;1;5716;5716;;48499;1;3434,22;3434,22
47197;4295;1;4295;;44392;3;2515,92;838,64;;43072;1;0;0;;48998;1;6389;6389;;46341;1;5406,48;5406,48
47229;223;1;223;;47541;3;710,8;236,9333333;;43089;1;0;0;;48496;1;14344,26;14344,26;;35229;1;90886;90886
47305;108113;1;108113;;48409;3;4345;1448,333333;;43897;1;52773,36;52773,36;;47488;1;-21827,83;-21827,83;;43497;1;16614;16614
47360;165250,26;1;165250,26;;48499;3;3434,22;1144,74;;43906;1;0;0;;48091;1;10322,51;10322,51;;35366;1;140782;140782
47659;3630,59;1;3630,59;;48684;3;-90;-30;;44486;1;0;0;;32942;1;25522,89;25522,89;;41392;1;80883;80883
47712;164752;1;164752;;49159;3;-455;-151,6666667;;44528;1;302944;302944;;37468;1;17574;17574;;41825;1;57347,74;57347,74
47826;7347;1;7347;;46860;3;46379;15459,66667;;44691;1;-200;-200;;3958;1;1863398;1863398;;49155;1;-28679,74;-28679,74
47842;41792,93;1;41792,93;;42183;3;3266;1088,666667;;44927;1;0;0;;35229;1;90886;90886;;46955;1;68138;68138
48074;16239;1;16239;;45096;3;16699;5566,333333;;45044;1;4673;4673;;47390;1;66446,56;66446,56;;48963;1;14720,95;14720,95
48131;92199;1;92199;;37796;3;41685,04;13895,01333;;45195;1;313390,95;313390,95;;46287;1;-2008,84;-2008,84;;45096;1;16699;16699
48503;7993;1;7993;;48419;3;12946,79;4315,596667;;45348;1;0;0;;43497;1;16614;16614;;48741;1;10802;10802
48718;111107;1;111107;;34810;4;20308;5077;;45485;1;262756,36;262756,36;;47961;1;44791;44791;;46252;1;27270;27270
48736;6361;1;6361;;35741;4;53376;13344;;45663;1;67080,58;67080,58;;44867;1;9138,96;9138,96;;34810;1;20308;20308
48743;926;1;926;;40803;4;-531;-132,75;;45822;1;76627;76627;;36652;1;21008,43;21008,43;;3646;2;6949;3474,5
48958;8074;1;8074;;41694;4;248,45;62,1125;;46098;1;389594;389594;;42759;1;8713;8713;;35609;2;3662;1831
49017;6627,16;1;6627,16;;41884;4;3,72;0,93;;46202;1;118661,26;118661,26;;47646;1;39666,71;39666,71;;49339;2;6818;3409
49135;3224;1;3224;;44054;4;4968,04;1242,01;;46326;1;736864;736864;;48480;1;35846,29;35846,29;;43765;2;76058,47;38029,235
49284;288339,66;1;288339,66;;44370;4;5849,32;1462,33;;46543;1;0;0;;39648;1;81568,75;81568,75;;36196;2;68737;34368,5
49366;14082,5;1;14082,5;;45580;4;1478;369,5;;46809;1;0;0;;47266;1;36527,51;36527,51;;49517;2;138509,95;69254,975
49373;976;1;976;;47184;4;4741,83;1185,4575;;46937;1;324881;324881;;37123;1;8576,68;8576,68;;25496;2;70079;35039,5
1743;85402;2;42701;;47838;4;984,7;246,175;;47108;1;1505953;1505953;;44207;1;26174;26174;;46219;2;59864,3;29932,15
6857;3071;2;1535,5;;48456;4;16;4;;47588;1;0;0;;40436;1;48551,63;48551,63;;40436;2;48551,63;24275,815
8250;82099,37;2;41049,685;;49348;4;864;216;;47622;1;0;0;;31060;1;40461,18;40461,18;;48699;2;16869,88;8434,94
23580;57287,81;2;28643,905;;46287;4;-2008,84;-502,21;;47967;1;0;0;;48382;1;63079;63079;;47950;2;24465;12232,5
33829;-2904;2;-1452;;49048;4;18517;4629,25;;48037;1;938,65;938,65;;49218;1;44127;44127;;49366;2;14082,5;7041,25
38213;-347,51;2;-173,755;;47467;4;38948;9737;;48343;1;0;0;;43494;1;19979;19979;;48920;3;13589;4529,666667
40748;422174;2;211087;;36818;5;-16400;-3280;;48492;1;200;200;;34349;1;16860;16860;;44567;3;61314;20438
41354;2450;2;1225;;36845;5;-664,55;-132,91;;48525;1;480,68;480,68;;37061;1;45996;45996;;48623;4;20000;5000
41476;82569;2;41284,5;;44583;5;7128;1425,6;;48582;1;10712;10712;;49447;1;33789;33789;;45122;5;16389,27;3277,854
41692;40;2;20;;44893;5;467;93,4;;48625;1;0;0;;41383;1;49794;49794;;48970;5;6923,61;1384,722
41710;1494;2;747;;45904;5;-4000;-800;;48645;1;445;445;;48435;1;56146;56146;;48915;6;1300;216,6666667
42260;1170;2;585;;45927;5;18638;3727,6;;48814;1;922112;922112;;32331;1;77917,61;77917,61;;47559;6;-1248;-208
